raw_name;labels;new_name;type;ordered;categories
hnr;Haushaltsnummer (aktuell);;;;
welle;Indikator Befragungswelle;;;;
hintjahr;Interviewdatum Haushaltsinterview - Jahr, generiert;;;;
hintmon;Interviewdatum Haushaltsinterview - Monat, generiert;;;;
HW0300;Indikator: Art des Mietverhaeltnisses;;;;
HA0100;Haushaltsgroesse;;;;
HLS0100a;Deprivation: Wohnung mit ausreichend Zimmern?;;;;
HLS0100b;Deprivation: Warum keine Wohnung mit ausreichend Zimmern?;;;;
HLS0200a;Deprivation: Wohnung ohne feuchte Waende/Fussboeden?;;;;
HLS0200b;Deprivation: Warum keine Wohnung ohne feuchte Waende/Fussboeden?;;;;
HLS0300a;Deprivation: Bad innerhalb der Wohnung?;;;;
HLS0300b;Deprivation: Warum kein Bad innerhalb der Wohnung?;;;;
HLS0400a;Deprivation: Innentoilette?;;;;
HLS0400b;Deprivation: Warum keine Innentoilette?;;;;
HLS0500a;Deprivation: Zentralheizung/Etagenheizung/Fernwaerme?;;;;
HLS0500b;Deprivation: Warum keine Zentralheizung/Etagenheizung/Fernwaerme?;;;;
HLS0600a;Deprivation: Garten/Balkon/Terrasse?;;;;
HLS0600b;Deprivation: Warum keinen Garten/Balkon/Terrasse?;;;;
HLS0700a;Deprivation: Ausreichende Winterkleidung?;;;;
HLS0700b;Deprivation: Warum keine ausreichende Winterkleidung?;;;;
HLS0800a;Deprivation: Auto?;;;;
HLS0800b;Deprivation: Warum kein Auto?;;;;
HLS0900a;Deprivation: Fernseher?;;;;
HLS0900b;Deprivation: Warum kein Fernseher?;;;;
HLS1000a;Deprivation: Videorekorder/DVD-Player?;;;;
HLS1000b;Deprivation: Warum kein Videorekorder/DVD-Player?;;;;
HLS1100a;Deprivation: Computer mit Internetanschluss?;;;;
HLS1100b;Deprivation: Warum keinen Computer mit Internetanschluss?;;;;
HLS1200a;Deprivation: Waschmaschine?;;;;
HLS1200b;Deprivation: Warum keine Waschmaschine?;;;;
HLS1300a;Deprivation: Gefrierschrank/-truhe/Kuehlschrank mit Gefrierfach?;;;;
HLS1300b;Deprivation: Warum keine/n Gefrierschrank/-truhe/Kuehlschrank mit Gefrierfach?;;;;
HLS1400a;Deprivation: Ab und zu neue Kleidung kaufen?;;;;
HLS1400b;Deprivation: Warum nicht ab und zu neue Kleidung kaufen?;;;;
HLS1500a;Deprivation: Eine warme Mahlzeit/Tag?;;;;
HLS1500b;Deprivation: Warum keine warme Mahlzeit/Tag?;;;;
HLS1600a;Deprivation: Eine einwoechige Urlaubsreise/Jahr?;;;;
HLS1600b;Deprivation: Warum keine einwoechige Urlaubsreise/Jahr?;;;;
HLS1700a;Deprivation: Einmal/Monat Freunde zum Essen einladen?;;;;
HLS1700b;Deprivation: Warum nicht einmal/Monat Freunde zum Essen einladen?;;;;
HLS1800a;Deprivation: Einmal/Monat ins Restaurant gehen?;;;;
HLS1800b;Deprivation: Warum nicht einmal/Monat ins Restaurant gehen?;;;;
HLS1900a;Deprivation: Einmal/Monat ins Kino/Theater/Konzert gehen?;;;;
HLS1900b;Deprivation: Warum nicht einmal/Monat ins Kino/Theater/Konzert gehen?;;;;
HLS2000a;Deprivation: Festen Betrag/Monat sparen?;;;;
HLS2000b;Deprivation: Warum keinen festen Betrag/Monat sparen?;;;;
HLS2100a;Deprivation: Abgenutzte Moebel ersetzen?;;;;
HLS2100b;Deprivation: Warum keine abgenutzten Moebel ersetzen?;;;;
HLS2200a;Deprivation: Unerwartete Ausgaben selbst bezahlen?;;;;
HLS2200b;Deprivation: Warum unerwartete Ausgaben nicht selbst bezahlen?;;;;
HLS2300a;Deprivation: Nicht von KV erstattete Behandlungen?;;;;
HLS2300b;Deprivation: Warum keine nicht von KV erstatteten Behandlungen?;;;;
HLS2400a;Deprivation: Miete puenktlich zahlen?;;;;
HLS2400b;Deprivation: Warum Miete nicht puenktlich zahlen?;;;;
HLS2500a;Deprivation: Gas-/Wasser-/Stromrechnungen puenktl. zahlen?;;;;
HLS2500b;Deprivation: Warum Gas-/Wasser-/Stromrechnungen nicht puenktl. zahlen?;;;;
HLS2600a;Deprivation: Rezeptfreie Medikamente?;;;;
HLS2600b;Deprivation: Warum keine rezeptfreien Medikamente?;;;;
HLS2700;Indikator: Telefon im Haushalt;;;;
HLS2800a;Deprivation Kinder: Freunde nach Hause einladen?;;;;
HLS2800b;Deprivation Kinder: Warum keine Freunde nach Hause einladen?;;;;
HLS2900a;Deprivation Kinder: Ausreichend Winterkleidung?;;;;
HLS2900b;Deprivation Kinder: Warum keine ausreichende Winterkleidung?;;;;
HLS3000a;Deprivation Schulkinder: Platz zum Lernen und fuer Hausaufgaben?;;;;
HLS3000b;Deprivation Schulkinder: Warum kein Platz zum Lernen?;;;;
HLS3100a;Deprivation Schulkinder: Regelmaessiges Taschengeld?;;;;
